Abbreviation,Full Form,Category
A/C,Account,Banking & Financial Services
AEPS,Aadhaar Enabled Payment System,Banking & Financial Services
ARC,Asset Reconstruction Company,Banking & Financial Services
ATM,Automated Teller Machine,Banking & Financial Services
BBPS,Bharat Bill Payment System,Banking & Financial Services
BHIM,Bharat Interface for Money,Banking & Financial Services
BSR,Basic Statistical Return,Banking & Financial Services
CASA,Current Account and Savings Account,Banking & Financial Services
CBS,Core Banking Solution/System,Banking & Financial Services
CCIL,Clearing Corporation of India Ltd.,Banking & Financial Services
CD,Certificate of Deposit,Banking & Financial Services
CRAR,Capital to Risk-weighted Assets Ratio,Banking & Financial Services
CRR,Cash Reserve Ratio,Banking & Financial Services
DICGC,Deposit Insurance and Credit Guarantee Corporation,Banking & Financial Services
DRI,Differential Rate of Interest,Banking & Financial Services
DRT,Debt Recovery Tribunal,Banking & Financial Services
DTL,Demand and Time Liability,Banking & Financial Services
ECB,External Commercial Borrowing,Banking & Financial Services
ECS,Electronic Clearing Service,Banking & Financial Services
EMI,Equated Monthly Installment,Banking & Financial Services
EXIM Bank,Export Import Bank of India,Banking & Financial Services
HFC,Housing Finance Company,Banking & Financial Services
IFSC,Indian Financial System Code,Banking & Financial Services
IMPS,Immediate Payment Service,Banking & Financial Services
LAF,Liquidity Adjustment Facility,Banking & Financial Services
LIBOR,London Inter-Bank Offer Rate,Banking & Financial Services
MFI,Micro Finance Institution,Banking & Financial Services
MIBOR,Mumbai Inter-Bank Offer Rate,Banking & Financial Services
MICR,Magnetic Ink Character Recognition,Banking & Financial Services
MUDRA,Micro Units Development and Refinance Agency,Banking & Financial Services
NABARD,National Bank for Agriculture and Rural Development,Banking & Financial Services
NBFC,Non-Banking Financial Company,Banking & Financial Services
NEFT,National Electronic Fund Transfer,Banking & Financial Services
NHB,National Housing Bank,Banking & Financial Services
NPA,Non-Performing Asset,Banking & Financial Services
NPCI,National Payments Corporation of India,Banking & Financial Services
OD,Overdraft,Banking & Financial Services
PMJDY,Pradhan Mantri Jan Dhan Yojana,Banking & Financial Services
PMMY,Pradhan Mantri Mudra Yojana,Banking & Financial Services
PSL,Priority Sector Lending,Banking & Financial Services
RBI,Reserve Bank of India,Banking & Financial Services
RRB,Regional Rural Bank,Banking & Financial Services
RTGS,Real-Time Gross Settlement,Banking & Financial Services
SARFAESI,Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act,Banking & Financial Services
SCB,Scheduled Commercial Bank,Banking & Financial Services
SHG,Self Help Group,Banking & Financial Services
SIDBI,Small Industries Development Bank of India,Banking & Financial Services
SLBC,State Level Bankers' Committee,Banking & Financial Services
SLR,Statutory Liquidity Ratio,Banking & Financial Services
UPI,Unified Payments Interface,Banking & Financial Services
BoP,Balance of Payments,Economic & General Finance
CAGR,Compound Annual Growth Rate,Economic & General Finance
CAPEX,Capital Expenditure,Economic & General Finance
CAR,Capital Adequacy Ratio,Economic & General Finance
CPI,Consumer Price Index,Economic & General Finance
D/E,Debt to Equity (Ratio),Economic & General Finance
DFI,Development Financial Institution,Economic & General Finance
EBITDA,Earnings Before Interest Taxes Depreciation and Amortization,Economic & General Finance
EPS,Earnings Per Share,Economic & General Finance
FCNR,Foreign Currency Non-Resident (Account),Economic & General Finance
FRBM,Fiscal Responsibility and Budget Management (Act),Economic & General Finance
GDP,Gross Domestic Product,Economic & General Finance
GNP,Gross National Product,Economic & General Finance
GNPA,Gross Non-Performing Asset,Economic & General Finance
IIP,Index of Industrial Production,Economic & General Finance
IRR,Internal Rate of Return,Economic & General Finance
KYC,Know Your Customer,Economic & General Finance
LLP,Limited Liability Partnership,Economic & General Finance
